web-scraper-order,web-scraper-start-url,city,city-href,data,imgs-src
"1622369050-327","http://www.tourism.rajasthan.gov.in/tourist-destinations.html","Explore","http://tourism.rajasthan.gov.in/dausa.html","BEAUTIFUL LIKE HEAVEN",""
"1622369014-272","http://www.tourism.rajasthan.gov.in/tourist-destinations.html","Explore","http://tourism.rajasthan.gov.in/bharatpur.html","The history of Bharatpur dates back to 5th century BC, when the Matsya kingdom flourished here. The Matsyas were allies of the Pandavas in the Mahabharata war. Legends say that the origin of the name Bharatpur is traced to Bharat, younger brother of Lord Ram. Laxman, the other brother, was given the most prestigious position as that of the family deity of the ruling family of Bharatpur. His name also appears in the state seals and coat-of-arms.



In the early 18th century, Maharaja Suraj Mal captured the fort of Bharatpur by vanquishing Khemkaran, the rival chieftain and laid the foundation for Bharatpur. The valiant Maharaja was very keen to expand the cities and is credited with building the numerous forts and palaces that dot the kingdom, including the Pleasure Palace Complex at Deeg. 



Bharatpur is also home to one of the world's best-known bird watching destinations, Keoladeo Ghana National Park (KNP). 250 years ago, the then ruler built embankments that allowed flooding of this land, turning it into a marsh. Named after the dense jungle that surrounded an old Shiva Temple, this 29 square kilometre man-made wetland is renowned for migratory birds – ducks, geese, waders, raptors, flycatchers and more. In winter, avid birders and ornithologists flock to the park to observe and study the feathered beauties. With more than 370 recorded species, KNP used to also host the Siberian crane. It is a World Heritage Site.",""
"1622368981-204","http://www.tourism.rajasthan.gov.in/tourist-destinations.html","Explore","http://tourism.rajasthan.gov.in/ajmer.html","Ajmer",""
"1622368974-184","http://www.tourism.rajasthan.gov.in/tourist-destinations.html","Explore","http://tourism.rajasthan.gov.in/mount-abu.html","Serving as a source of comfort from the sultry dessert climate of Rajasthan, Mount Abu, the state’s only hill station stands at a height of 1722 metres above sea level, and is embraced by lush green hills of the Aravalli range.",""
"1622369005-254","http://www.tourism.rajasthan.gov.in/tourist-destinations.html","Explore","http://tourism.rajasthan.gov.in/jodhpur.html","",""
"1622368981-211","http://www.tourism.rajasthan.gov.in/tourist-destinations.html","Explore","http://tourism.rajasthan.gov.in/ajmer.html","Places to Visit near Ajmer",""
"1622369029-296","http://www.tourism.rajasthan.gov.in/tourist-destinations.html","Explore","http://tourism.rajasthan.gov.in/baran.html","A separate area carved out of the beautiful region of Kota, Baran is located further in the Hadoti province of Rajasthan. A traveller’s dream, Baran is the land of picturesque wooded hills and valleys, where one can stumble upon old ruins that tell stories of an era long gone. The city is known for its Ram- Sita temples, serene picnic spots and vibrant tribal fairs and festivals. 

The history of Baran dates back to the 14th century when Solanki Rajputs ruled over the region. In 1949, Baran became the head-divisional quarter of Kota when Rajasthan was reconstituted. It became an established district of Rajasthan in 1991.Baran is popular for attracting tourists who prefer exploring the non-commercial aspects of the State. Its architectural marvels, a beautiful collection of temples dedicated to Ram and Sita and mighty fortresses add to Baran’s natural beauty.",""
"1622369047-324","http://www.tourism.rajasthan.gov.in/tourist-destinations.html","EXPLORE","http://tourism.rajasthan.gov.in/dholpur.html","About  

Situated in the eastern part of Rajasthan, Dholpur became a separate district in 1982 comprising four tehsils of Bharatpur – namely Dholpur, Rajakhera, Bari and Baseri. Carved out of Bharatpur district, Dholpur is surrounded by Agra on the north, Morena district of Madhya Pradesh on the south and Karauli on the west.

Ever since its existence, Dholpur remains one of the most fascinating regions in the state that has witnessed the oldest civilizations, and is extremely rich in cultural heritage. It used to be the seat of the Dholpur princely state before Independence, and today is a city of diverse culture and historical grandeur.

The red sandstone from Dholpur is famous throughout the country and was famously used in the construction of the Red Fort in Delhi.



The history of this princely state is known to date back to Buddha’s time. Several centuries ago, Dholpur was a part of the Mauryan Empire and came under the rule of various rulers all along the Mughal period. Around the 8th to the 10th century, Dholpur was known to be ruled by the Chauhans.Until 1194, it continued to be under the rule of Mohammed Gauri.

Dholpur was initially known as Dhawalpuri named after the ruler Raja Dhawal Deo, also known as Dholan Deo Tomar who established the city in 700 AD (though some historians have dated the formation to 1005 AD.) Later, it came to be known as Dholpur.",""
"1622368979-202","http://www.tourism.rajasthan.gov.in/tourist-destinations.html","Explore","http://tourism.rajasthan.gov.in/jaisalmer.html","If geology interests you, then Jaisalmer is where you need to journey. The Wood Fossil Park or Aakal is located about 15 kilometres away from the city. Here, one can discover and trace geologic tragedies that occurred in the Thar Desert 180 million years ago. The city of Jaisalmer also acts as the guard to western Rajasthan (and India’s) frontier. This 'Golden City’ is located close to the Pakistan border and in close proximity to the Thar Desert. The city’s most prominent landmark is the Jaisalmer Fort, also called Sonar Qila (Golden Fort). Unlike most other forts in India, Jaisalmer Fort is not just a tourist attraction. It houses shops, hotels and ancient havelis (homes) where generations continue to live.



Jaisalmer traces its inception to the 12th century. History tells us of Rawal Jaisal, the eldest heir of the Rawal of Deoraj,  was passed over for the throne of Lodurva and a younger half-brother was crowned king. Rawal Jaisal went looking for a new location to set up his capital when he came across sage Eesul. The sage told him about Krishna’s prophecy which said that a descendant of his Yaduvanshi clan would found a new kingdom at this same spot. It was in 1156 that Rawal Jaisal constructed a mud fort, named it Jaisalmer after himself and declared it his capital.",""
"1622369007-258","http://www.tourism.rajasthan.gov.in/tourist-destinations.html","Explore","http://tourism.rajasthan.gov.in/kota.html","KOTA",""
